Unnamed: 0,date,open,high,low,close,volume
0,2009-03-30 09:05:00,3550.0,3564.0,3533.0,3564.0,0
1,2009-03-30 09:10:00,3563.0,3575.0,3560.0,3570.0,0
2,2009-03-30 09:15:00,3570.0,3580.0,3563.0,3579.0,0
3,2009-03-30 09:20:00,3579.0,3580.0,3563.0,3566.0,0
4,2009-03-30 09:25:00,3566.0,3566.0,3540.0,3551.0,0
5,2009-03-30 09:30:00,3552.0,3553.0,3545.0,3550.0,0
6,2009-03-30 09:35:00,3550.0,3554.0,3543.0,3547.0,0
7,2009-03-30 09:40:00,3544.0,3547.0,3540.0,3547.0,0
8,2009-03-30 09:45:00,3547.0,3552.0,3544.0,3546.0,0
9,2009-03-30 09:50:00,3546.0,3548.0,3540.0,3543.0,0
10,2009-03-30 09:55:00,3542.0,3543.0,3531.0,3541.0,0
11,2009-03-30 10:00:00,3541.0,3547.0,3540.0,3546.0,0
12,2009-03-30 10:05:00,3546.0,3553.0,3544.0,3553.0,0
13,2009-03-30 10:10:00,3553.0,3556.0,3547.0,3550.0,0
14,2009-03-30 10:15:00,3550.0,3553.0,3547.0,3551.0,0
15,2009-03-30 10:35:00,3548.0,3554.0,3546.0,3548.0,0
16,2009-03-30 10:40:00,3547.0,3553.0,3546.0,3546.0,0
17,2009-03-30 10:45:00,3546.0,3546.0,3538.0,3543.0,0
18,2009-03-30 10:50:00,3543.0,3547.0,3539.0,3540.0,0
19,2009-03-30 10:55:00,3541.0,3549.0,3539.0,3548.0,0
20,2009-03-30 11:00:00,3548.0,3553.0,3547.0,3553.0,0
21,2009-03-30 11:05:00,3553.0,3562.0,3552.0,3555.0,0
22,2009-03-30 11:10:00,3555.0,3555.0,3548.0,3549.0,0
23,2009-03-30 11:15:00,3548.0,3555.0,3548.0,3553.0,0
24,2009-03-30 11:20:00,3552.0,3553.0,3549.0,3550.0,0
25,2009-03-30 11:25:00,3550.0,3555.0,3545.0,3546.0,0
26,2009-03-30 11:30:00,3545.0,3549.0,3541.0,3549.0,0
27,2009-03-30 13:35:00,3545.0,3546.0,3539.0,3543.0,0
28,2009-03-30 13:40:00,3544.0,3548.0,3543.0,3546.0,0
29,2009-03-30 13:45:00,3545.0,3548.0,3545.0,3545.0,0
30,2009-03-30 13:50:00,3546.0,3548.0,3544.0,3547.0,0
31,2009-03-30 13:55:00,3548.0,3551.0,3546.0,3549.0,0
32,2009-03-30 14:00:00,3549.0,3552.0,3548.0,3549.0,0
33,2009-03-30 14:05:00,3550.0,3550.0,3546.0,3549.0,0
34,2009-03-30 14:10:00,3549.0,3550.0,3542.0,3546.0,0
35,2009-03-30 14:15:00,3546.0,3546.0,3546.0,3546.0,0
36,2009-03-30 14:20:00,3546.0,3546.0,3546.0,3546.0,0
37,2009-03-30 14:25:00,3545.0,3545.0,3541.0,3544.0,0
38,2009-03-30 14:30:00,3545.0,3546.0,3531.0,3531.0,0
39,2009-03-30 14:35:00,3532.0,3544.0,3528.0,3538.0,0
40,2009-03-30 14:40:00,3538.0,3544.0,3537.0,3538.0,0
41,2009-03-30 14:45:00,3538.0,3539.0,3531.0,3537.0,0
42,2009-03-30 14:50:00,3537.0,3542.0,3536.0,3537.0,0
43,2009-03-30 14:55:00,3538.0,3540.0,3534.0,3538.0,0
44,2009-03-30 15:00:00,3539.0,3547.0,3537.0,3544.0,0
45,2009-03-31 09:05:00,3538.0,3544.0,3531.0,3541.0,0
46,2009-03-31 09:10:00,3542.0,3544.0,3537.0,3539.0,0
47,2009-03-31 09:15:00,3540.0,3544.0,3535.0,3541.0,0
48,2009-03-31 09:20:00,3542.0,3544.0,3538.0,3544.0,0
49,2009-03-31 09:25:00,3544.0,3544.0,3538.0,3539.0,0
50,2009-03-31 09:30:00,3539.0,3540.0,3537.0,3539.0,0
51,2009-03-31 09:35:00,3539.0,3540.0,3538.0,3539.0,0
52,2009-03-31 09:40:00,3539.0,3542.0,3537.0,3539.0,0
53,2009-03-31 09:45:00,3539.0,3542.0,3538.0,3542.0,0
54,2009-03-31 09:50:00,3542.0,3566.0,3541.0,3559.0,0
55,2009-03-31 09:55:00,3559.0,3562.0,3555.0,3557.0,0
56,2009-03-31 10:00:00,3557.0,3557.0,3550.0,3552.0,0
57,2009-03-31 10:05:00,3553.0,3557.0,3552.0,3554.0,0
58,2009-03-31 10:10:00,3554.0,3556.0,3553.0,3556.0,0
59,2009-03-31 10:15:00,3555.0,3555.0,3545.0,3548.0,0
60,2009-03-31 10:35:00,3550.0,3555.0,3550.0,3553.0,0
61,2009-03-31 10:40:00,3553.0,3554.0,3546.0,3548.0,0
62,2009-03-31 10:45:00,3548.0,3551.0,3546.0,3549.0,0
63,2009-03-31 10:50:00,3550.0,3552.0,3549.0,3552.0,0
64,2009-03-31 10:55:00,3553.0,3555.0,3550.0,3551.0,0
65,2009-03-31 11:00:00,3551.0,3554.0,3550.0,3553.0,0
66,2009-03-31 11:05:00,3553.0,3555.0,3552.0,3554.0,0
67,2009-03-31 11:10:00,3554.0,3554.0,3551.0,3553.0,0
68,2009-03-31 11:15:00,3552.0,3558.0,3552.0,3555.0,0
69,2009-03-31 11:20:00,3555.0,3556.0,3552.0,3553.0,0
70,2009-03-31 11:25:00,3553.0,3557.0,3553.0,3556.0,0
71,2009-03-31 11:30:00,3555.0,3556.0,3554.0,3556.0,0
72,2009-03-31 13:35:00,3556.0,3556.0,3550.0,3550.0,0
73,2009-03-31 13:40:00,3551.0,3553.0,3549.0,3551.0,0
74,2009-03-31 13:45:00,3552.0,3554.0,3551.0,3553.0,0
75,2009-03-31 13:50:00,3553.0,3553.0,3548.0,3549.0,0
76,2009-03-31 13:55:00,3550.0,3550.0,3545.0,3548.0,0
77,2009-03-31 14:00:00,3548.0,3549.0,3547.0,3548.0,0
78,2009-03-31 14:05:00,3548.0,3548.0,3546.0,3547.0,0
79,2009-03-31 14:10:00,3547.0,3547.0,3545.0,3546.0,0
80,2009-03-31 14:15:00,3546.0,3546.0,3546.0,3546.0,0
81,2009-03-31 14:20:00,3546.0,3546.0,3546.0,3546.0,0
82,2009-03-31 14:25:00,3546.0,3548.0,3545.0,3547.0,0
83,2009-03-31 14:30:00,3548.0,3550.0,3546.0,3546.0,0
84,2009-03-31 14:35:00,3547.0,3547.0,3545.0,3547.0,0
85,2009-03-31 14:40:00,3546.0,3546.0,3543.0,3546.0,0
86,2009-03-31 14:45:00,3546.0,3548.0,3546.0,3547.0,0
87,2009-03-31 14:50:00,3547.0,3548.0,3546.0,3547.0,0
88,2009-03-31 14:55:00,3548.0,3551.0,3547.0,3551.0,0
89,2009-03-31 15:00:00,3552.0,3552.0,3548.0,3549.0,0
90,2009-04-01 09:05:00,3560.0,3561.0,3550.0,3553.0,0
91,2009-04-01 09:10:00,3552.0,3553.0,3543.0,3550.0,0
92,2009-04-01 09:15:00,3550.0,3553.0,3548.0,3552.0,0
93,2009-04-01 09:20:00,3552.0,3554.0,3550.0,3554.0,0
94,2009-04-01 09:25:00,3554.0,3554.0,3551.0,3553.0,0
95,2009-04-01 09:30:00,3553.0,3554.0,3550.0,3550.0,0
96,2009-04-01 09:35:00,3550.0,3553.0,3548.0,3552.0,0
97,2009-04-01 09:40:00,3552.0,3553.0,3550.0,3552.0,0
98,2009-04-01 09:45:00,3552.0,3552.0,3550.0,3551.0,0
99,2009-04-01 09:50:00,3550.0,3551.0,3548.0,3549.0,0
